"FLWS";"1-800 FLOWERS.COM, Inc.";"3.11";"84439610";"1999";"Consumer Services";"Other Specialty Stores";"http://quotes.nasdaq.com/asp/SummaryQuote.asp?symbol=FLWS&selected=FLWS"
"FCTY";"1st Century Bancshares, Inc";"3.85";"35797300";"n/a";"Finance";"Major Banks";"http://quotes.nasdaq.com/asp/SummaryQuote.asp?symbol=FCTY&selected=FCTY"
"FCCY";"1st Constitution Bancorp (NJ)";"7.8";"37463400";"n/a";"Finance";"Savings Institutions";"http://quotes.nasdaq.com/asp/SummaryQuote.asp?symbol=FCCY&selected=FCCY"
"SRCE";"1st Source Corporation";"21.56";"523994240";"n/a";"Finance";"Major Banks";"http://quotes.nasdaq.com/asp/SummaryQuote.asp?symbol=SRCE&selected=SRCE"
"FUBC";"1st United Bancorp, Inc. (FL)";"6.18";"188848440";"n/a";"Finance";"Major Banks";"http://quotes.nasdaq.com/asp/SummaryQuote.asp?symbol=FUBC&selected=FUBC"
"TCHC";"21st Century Holding Company";"2.668";"21199928";"1998";"Finance";"Property-Casualty Insurers";"http://quotes.nasdaq.com/asp/SummaryQuote.asp?symbol=TCHC&selected=TCHC"
"VNET";"21Vianet Group, Inc.";"14.37";"165255000";"n/a";"Technology";"Computer Software: Programming, Data Processing";"http://quotes.nasdaq.com/asp/SummaryQuote.asp?symbol=VNET&selected=VNET"
"SSRX";"3SBio Inc.";"17.96";"391671680";"2007";"Consumer Durables";"Major Pharmaceuticals";"http://quotes.nasdaq.com/asp/SummaryQuote.asp?symbol=SSRX&selected=SSRX"
"JOBS";"51job, Inc.";"60.42";"1709342220";"2004";"Technology";"Diversified Commercial Services";"http://quotes.nasdaq.com/asp/SummaryQuote.asp?symbol=JOBS&selected=JOBS"
"CRMB";"57TH Street General Acquisition Corp";"12.7168";"57149299.2";"n/a";"Finance";"Business Services";"http://quotes.nasdaq.com/asp/SummaryQuote.asp?symbol=CRMB&selected=CRMB"
"CRMBU";"57TH Street General Acquisition Corp";"14.6";"233600";"n/a";"Finance";"Business Services";"http://quotes.nasdaq.com/asp/SummaryQuote.asp?symbol=CRMBU&selected=CRMBU"
"CRMBW";"57TH Street General Acquisition Corp";"2.15";"11730400";"n/a";"Finance";"Business Services";"http://quotes.nasdaq.com/asp/SummaryQuote.asp?symbol=CRMBW&selected=CRMBW"
"EGHT";"8x8 Inc";"4.54";"281988480";"n/a";"Public Utilities";"Telecommunications Equipment";"http://quotes.nasdaq.com/asp/SummaryQuote.asp?symbol=EGHT&selected=EGHT"
"SHLM";"A. Schulman, Inc.";"23.79";"734064240";"1972";"Basic Industries";"Major Chemicals";"http://quotes.nasdaq.com/asp/SummaryQuote.asp?symbol=SHLM&selected=SHLM"
"ACMR";"A.C. Moore Arts & Crafts, Inc.";"2.27";"57644380";"1997";"Consumer Services";"Recreational Products/Toys";"http://quotes.nasdaq.com/asp/SummaryQuote.asp?symbol=ACMR&selected=ACMR"
"AONE";"A123 Systems, Inc.";"5.68";"715452800";"2009";"Energy";"Industrial Machinery/Components";"http://quotes.nasdaq.com/asp/SummaryQuote.asp?symbol=AONE&selected=AONE"
"AAON";"AAON, Inc.";"23.42";"579387380";"n/a";"Capital Goods";"Industrial Machinery/Components";"http://quotes.nasdaq.com/asp/SummaryQuote.asp?symbol=AAON&selected=AAON"
"ASTM";"Aastrom Biosciences, Inc.";"2.6695";"103098759.5";"1997";"Health Care";"Biotechnology: Biological Products (No Diagnostic Substances)";"http://quotes.nasdaq.com/asp/SummaryQuote.asp?symbol=ASTM&selected=ASTM"
"ABAX";"ABAXIS, Inc.";"28.86";"649869480";"1992";"Capital Goods";"Industrial Machinery/Components";"http://quotes.nasdaq.com/asp/SummaryQuote.asp?symbol=ABAX&selected=ABAX"
"ABBC";"Abington Bancorp, Inc.";"10.24";"206510080";"n/a";"Finance";"Banks";"http://quotes.nasdaq.com/asp/SummaryQuote.asp?symbol=ABBC&selected=ABBC"
"ABMD";"ABIOMED, Inc.";"16.39";"620410670";"n/a";"Health Care";"Medical/Dental Instruments";"http://quotes.nasdaq.com/asp/SummaryQuote.asp?symbol=ABMD&selected=ABMD"
"AXAS";"Abraxas Petroleum Corporation";"4.47";"410050980";"n/a";"Energy";"Oil & Gas Production";"http://quotes.nasdaq.com/asp/SummaryQuote.asp?symbol=AXAS&selected=AXAS"
"ACTG";"Acacia Research Corporation";"37.55";"1606051050";"n/a";"Miscellaneous";"Multi-Sector Companies";"http://quotes.nasdaq.com/asp/SummaryQuote.asp?symbol=ACTG&selected=ACTG"
"ACAD";"ACADIA Pharmaceuticals Inc.";"1.7";"89601900";"1985";"Consumer Durables";"Major Pharmaceuticals";"http://quotes.nasdaq.com/asp/SummaryQuote.asp?symbol=ACAD&selected=ACAD"
"ACCL";"Accelrys, Inc.";"7.43";"411540270";"1995";"Technology";"Computer Software: Prepackaged Software";"http://quotes.nasdaq.com/asp/SummaryQuote.asp?symbol=ACCL&selected=ACCL"
"ANCX";"Access National Corporation";"7.48";"77260920";"n/a";"Finance";"Savings Institutions";"http://quotes.nasdaq.com/asp/SummaryQuote.asp?symbol=ANCX&selected=ANCX"
"ARAY";"Accuray Incorporated";"8.53";"596417600";"2007";"Health Care";"Medical/Dental Instruments";"http://quotes.nasdaq.com/asp/SummaryQuote.asp?symbol=ARAY&selected=ARAY"
"ACRX";"AcelRx Pharmaceuticals, Inc.";"4.42";"71316700";"n/a";"Consumer Durables";"Major Pharmaceuticals";"http://quotes.nasdaq.com/asp/SummaryQuote.asp?symbol=ACRX&selected=ACRX"
"ACET";"Aceto Corporation";"6.41";"170634200";"n/a";"Consumer Durables";"Specialty Chemicals";"http://quotes.nasdaq.com/asp/SummaryQuote.asp?symbol=ACET&selected=ACET"
"ACHN";"Achillion Pharmaceuticals, Inc.";"7.49";"510121430";"2006";"Consumer Durables";"Major Pharmaceuticals";"http://quotes.nasdaq.com/asp/SummaryQuote.asp?symbol=ACHN&selected=ACHN"
"ACIW";"ACI Worldwide, Inc.";"35.85";"1197999450";"n/a";"Technology";"Computer Software: Prepackaged Software";"http://quotes.nasdaq.com/asp/SummaryQuote.asp?symbol=ACIW&selected=ACIW"
"APKT";"Acme Packet, Inc.";"65.9";"4786514700";"2006";"Technology";"Computer Communications Equipment";"http://quotes.nasdaq.com/asp/SummaryQuote.asp?symbol=APKT&selected=APKT"
"ACNB";"ACNB Corporation";"15.6";"92570400";"n/a";"Finance";"Major Banks";"http://quotes.nasdaq.com/asp/SummaryQuote.asp?symbol=ACNB&selected=ACNB"
"ACOR";"Acorda Therapeutics, Inc.";"29.63";"1169259060";"2006";"Health Care";"Biotechnology: Biological Products (No Diagnostic Substances)";"http://quotes.nasdaq.com/asp/SummaryQuote.asp?symbol=ACOR&selected=ACOR"
"ACFN";"Acorn Energy, Inc.";"4.26";"74503140";"n/a";"Consumer Services";"Military/Government/Technical";"http://quotes.nasdaq.com/asp/SummaryQuote.asp?symbol=ACFN&selected=ACFN"
"ACTS";"Actions Semiconductor Co., Ltd.";"2.12";"151122080";"2005";"Technology";"Semiconductors";"http://quotes.nasdaq.com/asp/SummaryQuote.asp?symbol=ACTS&selected=ACTS"
"ACPW";"Active Power, Inc.";"2.15";"171989250";"2000";"Public Utilities";"Electric Utilities: Central";"http://quotes.nasdaq.com/asp/SummaryQuote.asp?symbol=ACPW&selected=ACPW"
"ATVI";"Activision Blizzard, Inc";"11.91";"13627005150";"n/a";"Technology";"Computer Software: Prepackaged Software";"http://quotes.nasdaq.com/asp/SummaryQuote.asp?symbol=ATVI&selected=ATVI"
"BIRT";"Actuate Corporation";"6.255";"287773785";"n/a";"Technology";"Computer Software: Prepackaged Software";"http://quotes.nasdaq.com/asp/SummaryQuote.asp?symbol=BIRT&selected=BIRT"
"ACUR";"Acura Pharmaceuticals, Inc.";"3.65";"163640450";"n/a";"Consumer Durables";"Major Pharmaceuticals";"http://quotes.nasdaq.com/asp/SummaryQuote.asp?symbol=ACUR&selected=ACUR"
"ACXM";"Acxiom Corporation";"12.3";"998132700";"n/a";"Technology";"EDP Services";"http://quotes.nasdaq.com/asp/SummaryQuote.asp?symbol=ACXM&selected=ACXM"
"ADES";"ADA-ES, Inc.";"17.43";"132799170";"n/a";"Basic Industries";"Major Chemicals";"http://quotes.nasdaq.com/asp/SummaryQuote.asp?symbol=ADES&selected=ADES"
"ADGF";"Adams Golf, Inc.";"7.43";"56720620";"n/a";"Consumer Non-Durables";"Recreational Products/Toys";"http://quotes.nasdaq.com/asp/SummaryQuote.asp?symbol=ADGF&selected=ADGF"
"ADUS";"Addus HomeCare Corporation";"5.95";"64016050";"2009";"Health Care";"Medical/Nursing Services";"http://quotes.nasdaq.com/asp/SummaryQuote.asp?symbol=ADUS&selected=ADUS"
